,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
1,1.0,0.0,[1. 1. 1. 1. 1.],"(13691,)","('PAQR4',)",0.0,0.0
2,1.0,0.0,[1. 1. 1. 1. 1.],"(5, 13691)","('C10orf90', 'PAQR4')",0.0,0.0
3,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 5, 13691)","('ELMO2', 'C10orf90', 'PAQR4')",0.0,0.0
4,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'PAQR4')",0.0,0.0
5,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 9, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'RXFP3', 'PAQR4')",0.0,0.0
6,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'PAQR4')",0.0,0.0
7,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 15, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'DECR1', 'PAQR4')",0.0,0.0
8,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 12, 15, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'KLHL13', 'DECR1', 'PAQR4')",0.0,0.0
9,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 12, 15, 19, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'KLHL13', 'DECR1', 'HNRPD', 'PAQR4')",0.0,0.0
10,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 12, 15, 19, 24, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'KLHL13', 'DECR1', 'HNRPD', 'SUHW1', 'PAQR4')",0.0,0.0
11,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 12, 15, 19, 24, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'KLHL13', 'DECR1', 'HNRPD', 'SUHW1', 'PROSC', 'PAQR4')",0.0,0.0
12,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 12, 15, 16, 19, 24, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'KLHL13', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'PROSC', 'PAQR4')",0.0,0.0
13,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 12, 15, 16, 19, 24, 25, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'KLHL13', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'PROSC', 'PAQR4')",0.0,0.0
14,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 8, 9, 11, 12, 15, 16, 19, 24, 25, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'GPR98', 'RXFP3', 'PRO0478', 'KLHL13', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'PROSC', 'PAQR4')",0.0,0.0
15,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 7, 8, 9, 11, 12, 15, 16, 19, 24, 25, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'KLHL13', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'PROSC', 'PAQR4')",0.0,0.0
16,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 7, 8, 9, 11, 12, 13, 15, 16, 19, 24, 25, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'KLHL13', 'PRSSL1', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'PROSC', 'PAQR4')",0.0,0.0
17,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 7, 8, 9, 11, 12, 13, 15, 16, 19, 24, 25, 42, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'KLHL13', 'PRSSL1', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'ZEB1', 'PROSC', 'PAQR4')",0.0,0.0
18,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 7, 8, 9, 11, 12, 13, 15, 16, 19, 24, 25, 30, 42, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'KLHL13', 'PRSSL1', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'MMP7', 'ZEB1', 'PROSC', 'PAQR4')",0.0,0.0
19,1.0,0.0,[1. 1. 1. 1. 1.],"(0, 2, 5, 7, 8, 9, 11, 12, 13, 15, 16, 19, 24, 25, 28, 30, 42, 53, 13691)","('ELMO2', 'RPS11', 'C10orf90', 'ERCC5', 'GPR98', 'RXFP3', 'PRO0478', 'KLHL13', 'PRSSL1', 'DECR1', 'SALL1', 'HNRPD', 'SUHW1', 'CHD8', 'DDB1', 'MMP7', 'ZEB1', 'PROSC', 'PAQR4')",0.0,0.0
